Fecha,Producto,Categoria,Precio,Cantidad,Descuento,MetodoPago,Ciudad,Total
2026-08-29,Tablet,Dispositivos,1522813.0,7.0,10,Efectivo,Bogotá,9593721.9
2026-01-28,Tablet,Dispositivos,798967.0,5.0,0,Tarjeta,Bucaramanga,3994835.0
2026-06-05,Celular,Dispositivos,3105739.0,6.0,15,Efectivo,Bucaramanga,15839268.9
2026-01-12,Audífonos,Audio,3822796.0,4.0,10,Efectivo,Barranquilla,13762065.6
2026-08-31,Monitor,Pantallas,1577655.0,7.0,0,Transferencia,Cali,11043585.0
2026-05-10,Celular,Dispositivos,2832448.0,2.0,10,Transferencia,Cali,5098406.4
2026-05-22,Audífonos,Audio,1418110.0,7.0,10,Efectivo,Medellín,8934093.0
2026-06-07,Audífonos,Audio,2838916.0,7.0,5,Tarjeta,Bucaramanga,18878791.4
2026-03-15,Audífonos,Audio,2348215.0,1.0,10,Tarjeta,Medellín,2113393.5
2026-06-22,Celular,Dispositivos,2000301.0,8.0,15,Transferencia,Medellín,13602046.8
2026-03-14,Impresora,Oficina,3379167.0,3.0,0,Transferencia,Bucaramanga,10137501.0
2026-02-27,Celular,Dispositivos,441694.0,4.0,10,Efectivo,Medellín,1590098.4
2026-06-06,Laptop,Computadores,243834.0,4.0,15,Tarjeta,Bogotá,829035.6
2026-05-07,Audífonos,Audio,3766727.0,4.0,15,Efectivo,Barranquilla,12806871.8
2026-07-19,Teclado,Accesorios,2801706.0,1.0,0,Efectivo,Barranquilla,2801706.0
2026-05-23,Teclado,Accesorios,3422681.0,8.0,0,Efectivo,Medellín,27381448.0
2026-09-01,Impresora,Oficina,609264.0,8.0,10,Transferencia,Barranquilla,4386700.8
2026-07-10,Audífonos,Audio,3533659.0,8.0,5,Tarjeta,Barranquilla,26855808.4
2026-07-16,Tablet,Dispositivos,3203180.0,4.0,10,Tarjeta,Bucaramanga,11531448.0
2026-07-02,Monitor,Pantallas,1201745.0,8.0,0,Efectivo,Cali,9613960.0
2026-02-05,Tablet,Dispositivos,1458646.0,6.0,0,Efectivo,Medellín,8751876.0
2026-01-17,Audífonos,Audio,2960636.0,3.0,5,Tarjeta,Barranquilla,8437812.6
2026-01-16,Celular,Dispositivos,2325876.0,8.0,15,Tarjeta,Medellín,15815956.8
2026-05-03,Audífonos,Audio,3845167.0,1.0,15,Tarjeta,Bogotá,3268391.95
2026-05-18,Tablet,Dispositivos,3210303.0,7.0,15,Transferencia,Bucaramanga,19101302.85
2026-04-22,Monitor,Pantallas,2097782.0,4.0,10,Efectivo,Barranquilla,7552015.2
2026-08-04,Audífonos,Audio,1459829.0,7.0,5,Efectivo,Barranquilla,9707862.85
2026-01-22,Laptop,Computadores,3853935.0,7.0,0,Efectivo,Barranquilla,26977545.0
2026-04-08,Impresora,Oficina,812226.0,1.0,10,Efectivo,Cali,731003.4
2026-03-13,Impresora,Oficina,1420890.0,6.0,15,Tarjeta,Barranquilla,7246539.0
2026-09-01,Mouse,Accesorios,2022609.0,1.0,0,Efectivo,Cali,2022609.0
2026-09-01,Mouse,Accesorios,3326728.0,1.0,0,Efectivo,Medellín,3326728.0
2026-02-02,Laptop,Computadores,2656070.0,3.0,5,Transferencia,Barranquilla,7569799.5
2026-06-29,Mouse,Accesorios,2415459.0,4.0,15,Tarjeta,Cali,8212560.6
2026-09-04,Teclado,Accesorios,2591298.0,2.0,5,Efectivo,Cali,4923466.2
2026-04-12,Laptop,Computadores,3946035.0,5.0,15,Efectivo,Medellín,16770648.75
2026-07-23,Monitor,Pantallas,477405.0,5.0,0,Efectivo,Bucaramanga,2387025.0
2026-01-18,Celular,Dispositivos,2284495.0,7.0,10,Transferencia,Bucaramanga,14392318.5
2026-01-28,Celular,Dispositivos,103066.0,7.0,15,Tarjeta,Barranquilla,613242.7
2026-02-15,Impresora,Oficina,3016667.0,3.0,15,Transferencia,Bucaramanga,7692500.85
2026-04-22,Tablet,Dispositivos,2633323.0,8.0,15,Tarjeta,Bucaramanga,17906596.4
2026-03-13,Celular,Dispositivos,3622343.0,4.0,0,Efectivo,Barranquilla,14489372.0
2026-01-08,Impresora,Oficina,2440122.0,7.0,10,Tarjeta,Barranquilla,15372768.6
2026-07-24,Teclado,Accesorios,2094932.0,4.0,10,Tarjeta,Cali,7541755.2
2026-05-13,Tablet,Dispositivos,3742329.0,5.0,0,Efectivo,Medellín,18711645.0
2026-05-23,Monitor,Pantallas,3070212.0,7.0,15,Transferencia,Medellín,18267761.4
2026-07-22,Impresora,Oficina,2759113.0,8.0,15,Efectivo,Bogotá,18761968.4
2026-03-20,Tablet,Dispositivos,979442.0,7.0,5,Tarjeta,Bucaramanga,6513289.3
2026-07-10,Impresora,Oficina,2371433.0,6.0,15,Tarjeta,Bucaramanga,12094308.3
2026-03-20,Celular,Dispositivos,2997987.0,8.0,10,Efectivo,Cali,21585506.4
2026-01-31,Mouse,Accesorios,3075285.0,4.0,10,Transferencia,Bucaramanga,11071026.0
2026-03-12,Teclado,Accesorios,853381.0,4.0,15,Transferencia,Bucaramanga,2901495.4
2026-02-28,Tablet,Dispositivos,471637.0,4.0,10,Efectivo,Cali,1697893.2
2026-01-12,Tablet,Dispositivos,109342.0,3.0,10,Transferencia,Bogotá,295223.4
2026-01-27,Tablet,Dispositivos,2975180.0,3.0,15,Transferencia,Bogotá,7586709.0
2026-03-29,Tablet,Dispositivos,2018793.0,8.0,15,Efectivo,Medellín,13727792.4
2026-07-30,Tablet,Dispositivos,3997106.0,8.0,0,Tarjeta,Bogotá,31976848.0
2026-02-08,Impresora,Oficina,360723.0,1.0,5,Tarjeta,Bucaramanga,342686.85
2026-06-05,Mouse,Accesorios,1090988.0,2.0,15,Transferencia,Bucaramanga,1854679.6
2026-08-21,Monitor,Pantallas,3303494.0,7.0,15,Tarjeta,Barranquilla,19655789.3
2026-08-31,Audífonos,Audio,1330857.0,1.0,0,Transferencia,Medellín,1330857.0
2026-03-03,Monitor,Pantallas,1160006.0,2.0,5,Transferencia,Medellín,2204011.4
2026-04-26,Mouse,Accesorios,706545.0,1.0,15,Tarjeta,Bucaramanga,600563.25
2026-06-30,Tablet,Dispositivos,186901.0,4.0,10,Transferencia,Cali,672843.6
2026-07-21,Impresora,Oficina,348549.0,4.0,10,Transferencia,Bucaramanga,1254776.4
2026-06-15,Monitor,Pantallas,1833162.0,2.0,5,Tarjeta,Medellín,3483007.8
2026-07-22,Teclado,Accesorios,349514.0,1.0,5,Transferencia,Cali,332038.3
2026-06-26,Tablet,Dispositivos,1891943.0,2.0,15,Transferencia,Cali,3216303.1
2026-01-21,Audífonos,Audio,1191883.0,8.0,15,Efectivo,Bucaramanga,8104804.4
2026-01-07,Audífonos,Audio,3130858.0,6.0,10,Efectivo,Bogotá,16906633.2
2026-07-15,Laptop,Computadores,3257637.0,5.0,0,Tarjeta,Medellín,16288185.0
2026-05-30,Impresora,Oficina,3892287.0,5.0,5,Transferencia,Barranquilla,18488363.25
2026-04-15,Impresora,Oficina,432698.0,8.0,10,Tarjeta,Cali,3115425.6
2026-04-16,Mouse,Accesorios,3647593.0,3.0,10,Tarjeta,Barranquilla,9848501.1
2026-01-23,Audífonos,Audio,3462343.0,1.0,15,Tarjeta,Cali,2942991.55
2026-06-18,Celular,Dispositivos,536210.0,7.0,0,Tarjeta,Bucaramanga,3753470.0
2026-06-09,Audífonos,Audio,277348.0,4.0,10,Transferencia,Barranquilla,998452.8
2026-03-10,Impresora,Oficina,3237631.0,1.0,5,Efectivo,Bucaramanga,3075749.45
2026-01-08,Tablet,Dispositivos,1887592.0,8.0,0,Efectivo,Bucaramanga,15100736.0
2026-01-24,Teclado,Accesorios,1353380.0,1.0,15,Efectivo,Medellín,1150373.0
2026-08-27,Impresora,Oficina,542688.0,3.0,15,Transferencia,Cali,1383854.4
2026-03-04,Tablet,Dispositivos,1792692.0,8.0,15,Transferencia,Barranquilla,12190305.6
2026-08-10,Teclado,Accesorios,1658876.0,4.0,5,Tarjeta,Bogotá,6303728.8
2026-03-14,Audífonos,Audio,1475540.0,5.0,0,Transferencia,Cali,7377700.0
2026-05-18,Impresora,Oficina,3679165.0,3.0,15,Tarjeta,Barranquilla,9381870.75
2026-08-27,Celular,Dispositivos,2364909.0,7.0,15,Efectivo,Cali,14071208.55
2026-08-08,Monitor,Pantallas,2448293.0,7.0,5,Efectivo,Barranquilla,16281148.45
2026-04-09,Celular,Dispositivos,3173519.0,8.0,15,Tarjeta,Medellín,21579929.2
2026-08-12,Laptop,Computadores,579515.0,6.0,0,Efectivo,Barranquilla,3477090.0
2026-08-11,Impresora,Oficina,114372.0,3.0,15,Efectivo,Medellín,291648.6
2026-06-09,Impresora,Oficina,3327954.0,5.0,10,Transferencia,Barranquilla,14975793.0
2026-09-02,Mouse,Accesorios,3622562.0,6.0,15,Transferencia,Cali,18475066.2
2026-03-02,Impresora,Oficina,3709039.0,1.0,0,Efectivo,Cali,3709039.0
2026-04-24,Mouse,Accesorios,1870208.0,2.0,0,Transferencia,Medellín,3740416.0
2026-03-25,Tablet,Dispositivos,3839235.0,1.0,0,Tarjeta,Bogotá,3839235.0
2026-03-04,Celular,Dispositivos,1622197.0,7.0,5,Tarjeta,Bucaramanga,10787610.05
2026-06-06,Teclado,Accesorios,762963.0,3.0,0,Transferencia,Barranquilla,2288889.0
2026-04-29,Monitor,Pantallas,2137367.0,3.0,5,Tarjeta,Cali,6091495.95
2026-08-19,Tablet,Dispositivos,2846932.0,1.0,15,Transferencia,Cali,2419892.2
2026-05-31,Teclado,Accesorios,359799.0,8.0,10,Transferencia,Cali,2590552.8
2026-08-05,Audífonos,Audio,2945384.0,5.0,15,Efectivo,Cali,12517882.0
2026-03-02,Audífonos,Audio,3629148.0,8.0,0,Transferencia,Barranquilla,29033184.0
2026-01-06,Celular,Dispositivos,2460935.0,5.0,10,Tarjeta,Barranquilla,11074207.5
2026-08-02,Laptop,Computadores,2423678.0,1.0,15,Efectivo,Cali,2060126.3
2026-06-23,Celular,Dispositivos,968571.0,4.0,10,Transferencia,Medellín,3486855.6
2026-07-21,Mouse,Accesorios,3839149.0,1.0,10,Efectivo,Barranquilla,3455234.1
2026-08-21,Celular,Dispositivos,3121739.0,3.0,0,Tarjeta,Cali,9365217.0
2026-07-21,Audífonos,Audio,786687.0,4.0,5,Tarjeta,Bucaramanga,2989410.6
2026-08-22,Tablet,Dispositivos,3533254.0,3.0,10,Tarjeta,Barranquilla,9539785.8
2026-09-04,Celular,Dispositivos,3423195.0,2.0,15,Efectivo,Bogotá,5819431.5
2026-01-24,Monitor,Pantallas,3657691.0,7.0,10,Efectivo,Barranquilla,23043453.3
2026-04-05,Tablet,Dispositivos,2300547.0,2.0,15,Transferencia,Cali,3910929.9
2026-06-22,Audífonos,Audio,3499468.0,6.0,0,Tarjeta,Medellín,20996808.0
2026-06-15,Laptop,Computadores,2648567.0,6.0,5,Transferencia,Bogotá,15096831.9
2026-01-30,Impresora,Oficina,3864248.0,5.0,15,Efectivo,Medellín,16423054.0
2026-01-25,Laptop,Computadores,1326597.0,8.0,0,Transferencia,Medellín,10612776.0
2026-06-21,Teclado,Accesorios,1680098.0,8.0,10,Tarjeta,Bucaramanga,12096705.6
2026-08-02,Teclado,Accesorios,3763694.0,7.0,0,Transferencia,Barranquilla,26345858.0
2026-06-26,Audífonos,Audio,3988674.0,5.0,0,Efectivo,Cali,19943370.0
2026-01-26,Impresora,Oficina,1915189.0,4.0,10,Transferencia,Cali,6894680.4
2026-02-18,Celular,Dispositivos,303965.0,7.0,10,Tarjeta,Bogotá,1914979.5
2026-01-13,Mouse,Accesorios,2829853.0,4.0,0,Efectivo,Cali,11319412.0
2026-08-01,Teclado,Accesorios,3350825.0,4.0,0,Efectivo,Bucaramanga,13403300.0
2026-07-18,Monitor,Pantallas,3460191.0,4.0,10,Transferencia,Medellín,12456687.6
2026-05-19,Laptop,Computadores,1212974.0,3.0,5,Efectivo,Cali,3456975.9
2026-01-04,Mouse,Accesorios,2822676.0,1.0,5,Efectivo,Cali,2681542.2
2026-01-14,Celular,Dispositivos,116190.0,3.0,10,Transferencia,Medellín,313713.0
2026-05-02,Audífonos,Audio,2256562.0,2.0,0,Tarjeta,Barranquilla,4513124.0
2026-07-06,Mouse,Accesorios,1945848.0,4.0,0,Tarjeta,Bucaramanga,7783392.0
2026-05-03,Impresora,Oficina,2748366.0,1.0,0,Tarjeta,Barranquilla,2748366.0
2026-08-19,Mouse,Accesorios,2106336.0,8.0,0,Tarjeta,Bogotá,16850688.0
2026-06-09,Teclado,Accesorios,325491.0,3.0,10,Transferencia,Bucaramanga,878825.7
2026-05-10,Celular,Dispositivos,1647628.0,5.0,15,Tarjeta,Bucaramanga,7002419.0
2026-04-21,Mouse,Accesorios,3376486.0,2.0,5,Efectivo,Barranquilla,6415323.4
2026-04-17,Audífonos,Audio,1471582.0,8.0,15,Tarjeta,Bogotá,10006757.6
2026-09-02,Audífonos,Audio,1360818.0,5.0,10,Transferencia,Medellín,6123681.0
2026-01-24,Impresora,Oficina,331577.0,2.0,0,Efectivo,Barranquilla,663154.0
2026-05-31,Celular,Dispositivos,3454807.0,3.0,0,Transferencia,Bucaramanga,10364421.0
2026-07-11,Tablet,Dispositivos,635652.0,4.0,10,Tarjeta,Bucaramanga,2288347.2
